Order Date,Region,Category,Sub-Category,Product Name,Sales,Profit,Quantity,Inventory_Days,Profit_Margin
2016-11-08,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,41.9136,2,2.786684990074821,0.16000000000000003
2016-11-08,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,219.582,3,1.4960242642839576,0.3
2016-06-12,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,6.8714,2,49.93160054719562,0.47000000000000003
2015-10-11,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,-383.031,5,1.905850962454736,-0.4
2015-10-11,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.5164,2,32.63590844062948,0.1125
2014-06-09,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,14.1694,7,52.29226361031518,0.29
2014-06-09,West,Office Supplies,Art,Newell 322,7.28,1.9656,4,200.5494505494505,0.27
2014-06-09,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,90.7152,6,2.4141488967670246,0.09999999999999999
2014-06-09,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,5.7825,3,59.1763942931258,0.31249999999999994
2014-06-09,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,34.47,5,15.88337684943429,0.3
2014-06-09,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,85.3092,9,1.9253492003207158,0.05
2014-06-09,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,68.3568,4,1.601888912295485,0.07500000000000001
2017-04-15,South,Office Supplies,Paper,Xerox 1967,15.552,5.4432,3,70.40895061728395,0.35000000000000003
2016-12-05,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,132.5922,3,2.683981410671216,0.32499999999999996
2015-11-22,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,-123.858,5,26.522307804098244,-1.8
2015-11-22,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,-3.816,3,430.4245283018868,-1.5
2014-11-11,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,13.3176,6,3.2888808794377367,0.02
2014-05-13,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,9.99,2,13.153153153153154,0.18
2014-08-27,West,Office Supplies,Art,Newell 341,8.56,2.4824,2,85.2803738317757,0.29
2014-08-27,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,16.011,3,5.129286115795391,0.075
2014-08-27,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,7.384,4,64.2605633802817,0.325
2016-12-09,Central,Office Supplies,Art,Newell 318,19.46,5.0596,7,131.29496402877697,0.25999999999999995
2016-12-09,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,15.6884,7,42.343387470997676,0.25999999999999995
2017-07-16,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,-1.0196,2,10.22810065571933,-0.014285714285714287
2015-09-25,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,240.2649,3,1.0482180293501047,0.22999999999999998
2016-01-16,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,4.2224,2,62.6717032967033,0.36250000000000004
2016-01-16,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,11.7741,3,12.090096058297451,0.13
2015-09-17,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,-1665.0522,7,0.8286226702081773,-0.54
2015-09-17,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,-7.0532,2,75.8993553753379,-0.7333333333333334
2015-09-17,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,15.525,3,8.816425120772946,0.125
2015-09-17,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,1.1016,2,223.65196078431373,0.3375
2015-09-17,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,9.7092,6,25.375417130144605,0.11249999999999999
2015-09-17,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,-5.715,6,319.3350831146107,-0.8333333333333334
2015-09-17,East,Office Supplies,Art,Lumber Crayons,15.76,3.546,2,46.31979695431472,0.22499999999999998
2017-10-19,Central,Office Supplies,Paper,Easy-staple paper,29.472,9.9468,3,37.15390879478827,0.33749999999999997
2016-12-08,Central,Technology,Phones,GE 30524EE4,1097.544,123.4737,7,2.3279248941272512,0.11249999999999999
2016-12-08,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,-147.963,5,9.558977582233398,-0.775
2015-12-27,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,35.415,9,28.986658195679798,0.3125
2015-12-27,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,-46.9764,3,2.0567273579674805,-0.08823529411764706
2015-12-27,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,-15.147,3,5.16368163426987,-0.07142857142857144
2015-12-27,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,41.7564,4,3.933528752478662,0.1125
2017-09-10,Central,Technology,Phones,Panasonic Kx-TS550,147.168,16.5564,4,9.920634920634921,0.11249999999999999
2016-07-17,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,3.894,2,9.373394966615306,0.05
2017-09-19,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,9.5616,2,7.634705488621151,0.1
2016-03-11,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,19.7714,2,15.876468029578078,0.43000000000000005
2016-03-11,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,8.2062,2,41.809851088201604,0.47000000000000003
2014-10-20,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,8.4784,4,6.888092092847707,0.04
2016-06-20,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,4.95,3,24.333333333333332,0.11
2016-06-20,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,6.104,2,33.486238532110086,0.27999999999999997
2015-04-18,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,17.9634,6,57.299843014128726,0.47000000000000003
2015-04-18,Central,Office Supplies,Labels,Avery 485,75.18,35.3346,6,29.130087789305662,0.47
2015-04-18,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.9568,2,118.5064935064935,0.48
2015-04-18,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,17.0981,1,4.056006222913657,0.19
2016-12-11,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,6.2566,7,167.43119266055047,0.41
2016-12-11,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,298.6855,5,1.7719306762464195,0.29
2016-06-17,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,52.14,6,10.500575373993096,0.25
2016-06-17,East,Office Supplies,Paper,Xerox 232,32.4,15.552,5,56.327160493827165,0.48
2016-06-17,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,7.098,5,5.713659559813406,0.02222222222222222
2016-06-17,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,6.9888,2,50.13736263736263,0.48
2016-06-17,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,3.3,2,24.333333333333332,0.11
2016-06-17,East,Office Supplies,Binders,Plastic Binding Combs,48.48,16.362,4,30.115511551155116,0.33749999999999997
